Symbol,Strategy,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Position_Size,Return_%,PnL,Side,Duration_Hours
SPY,Volume Momentum,2025-07-15 13:15:00-04:00,2025-07-15 13:20:00-04:00,623.48,623.73,1,-0.04009751716174126,-4.1984522980301335,long,0.08333333333333333
SPY,Volume Momentum,2025-07-15 15:00:00-04:00,2025-07-15 15:05:00-04:00,623.6,623.47,1,0.020846696600385073,-8.463738173921229,long,0.08333333333333333
SPY,Volume Momentum,2025-07-15 15:15:00-04:00,2025-07-15 15:20:00-04:00,623.66,623.5,1,0.02565500432927248,-8.80157779352703,long,0.08333333333333333
SPY,Volume Momentum,2025-07-16 11:30:00-04:00,2025-07-16 11:45:00-04:00,619.37,620.55,1,-0.19051616965626295,6.329203397023775,long,0.25
SPY,Volume Momentum,2025-07-16 14:55:00-04:00,2025-07-16 15:00:00-04:00,624.35,624.08,1,-0.04324497477375955,-10.034347623804933,long,0.08333333333333333
SPY,Volume Momentum,2025-07-18 12:30:00-04:00,2025-07-18 12:40:00-04:00,626.73,627.16,1,-0.068610087278409,-2.2039682649383394,long,0.16666666666666666
SPY,Volume Momentum,2025-07-21 09:45:00-04:00,2025-07-21 09:50:00-04:00,630.09,630.32,1,0.03650272183339798,-4.451553881786822,long,0.08333333333333333
SPY,Volume Momentum,2025-07-21 10:00:00-04:00,2025-07-21 10:05:00-04:00,630.88,630.58,1,-0.04755262490488965,-10.333899172060228,long,0.08333333333333333
SPY,Volume Momentum,2025-07-21 15:00:00-04:00,2025-07-21 15:30:00-04:00,630.12,629.36,1,0.12061194693073762,-15.444491629166805,long,0.5
SPY,Volume Momentum,2025-07-21 15:55:00-04:00,2025-07-22 09:35:00-04:00,628.74,629.1,1,-0.05725737188664315,-2.9986240565376647,long,17.666666666666668
